list_entry,review_status,bowl_barrow,single_monument,upstanding_earthwork,geometry_suitability,decision_reason
1014408,include,yes,yes,yes,provisional,Discrete mound and ditch described; centre still requires visual QA
1015973,include,yes,yes,yes,provisional,One separately scheduled low mound within a wider cluster
1015047,include,yes,yes,yes,provisional,Discrete surviving mound described
1008223,include,yes,yes,yes,provisional,Cultivation-reduced but visible mound described
1013112,include,yes,yes,yes,provisional,Discrete surviving mound and slight ditch described
1010725,include,yes,yes,yes,provisional,Well-defined mound and partly visible ditch described
1010714,include,yes,yes,yes,provisional,Discrete surviving mound described
1021306,include,yes,yes,yes,provisional,Low visible rise above later deposits described
1013563,include,yes,yes,yes,provisional,Visible mound and ditch described
1020392,include,yes,yes,yes,provisional,Prominent preserved earthwork described
1017971,include,yes,yes,yes,provisional,Discrete surviving mound described
1009429,include,yes,yes,yes,provisional,Low mound with visible profile described
1009137,exclude,yes,yes,no,unsuitable,Levelled by ploughing and identifiable only as a cropmark
1017268,include,yes,yes,yes,provisional,Partly lost to cliff collapse but a mound still survives
1012205,include,yes,yes,yes,provisional,Discrete surviving mound described
1008004,include,yes,yes,yes,provisional,Low altered mound survives despite origin uncertainty
1014299,include,yes,yes,yes,provisional,Substantial mound and ditch survive despite later trenches
1013643,include,yes,yes,yes,provisional,Visible discrete mound described
1015484,uncertain,yes,yes,uncertain,needs_review,Dimensions given but height and explicit surface survival are absent
1007398,include,yes,yes,yes,provisional,Discrete substantial mound described
1018102,include,yes,yes,yes,provisional,One visible mound separately scheduled near a cemetery
1009014,exclude,uncertain,yes,yes,needs_review,Full entry describes the feature as a sub-circular cairn
1010507,include,yes,yes,yes,provisional,Discrete mound described
1015768,include,yes,yes,yes,provisional,Substantial prominent earthwork described
1015152,include,yes,yes,yes,provisional,Discrete surviving mound described
1014895,include,yes,yes,yes,provisional,One mound separately scheduled in an alignment
1010512,include,yes,yes,yes,provisional,Discrete mound described
1008709,include,yes,yes,yes,provisional,Mutilated but clearly upstanding mound described
1007510,exclude,yes,yes,no,unsuitable,No longer visible as a mound; only a buried cropmark ditch remains
1017563,uncertain,yes,yes,marginal,needs_review,Plough-degraded low mound is only just visible
